month,delay_rate,avg_temp,avg_wind,avg_precip,avg_weather_delay
1,0.23090964463140262,6.112175799912443,12.719785103831585,0.1493827207491863,1.8641338485258008
2,0.15473082991602444,9.315353339711878,12.672133778667066,0.11170728299199059,0.5440769772681842
3,0.20802920331458305,12.322058273389898,13.7369511780572,0.15553754358034413,0.6114674597250146
4,0.18861570194215987,16.2230419371333,14.344711449296714,0.12657353081369652,0.6729284928111485
5,0.2561211904757931,20.87150465045253,12.308252654838457,0.15511249372067912,1.4176945838458317
6,0.2525002121291276,25.28501719493752,12.326932579540104,0.11769090373663378,1.106601957577502
7,0.29440888919310493,26.645081885726672,10.501938399508475,0.14772481702219203,1.0887208095189203
8,0.22979658334188768,25.877765893685574,10.859535880208352,0.11758429886983388,1.0384266418535653
9,0.15052906118015752,23.29209071695659,11.149834138714688,0.14012736209645898,0.4566114487524948
10,0.13588920607216987,18.94762728828016,11.53659703425415,0.046556917964570795,0.2720282145210779
11,0.14377383364834692,12.773733986323572,11.29366988790645,0.10547371807536897,0.5027669324903441
12,0.21591499781133727,8.331700043773255,10.182824811227839,0.1045286509630116,1.127563129240534
